epoch;accuracy;loss;lr;val_accuracy;val_loss
0;0.5078125;0.9083951115608215;1e-04;0.5;0.7066720227400461
1;0.5859375;0.6636486003796259;1e-04;0.453125;0.6945043305555979
2;0.6302083;0.6322931125760078;1e-04;0.5572916865348816;0.6828565448522568
3;0.6796875;0.6111308112740517;1e-04;0.5677083134651184;0.6679783016443253
4;0.66276044;0.6079326818386713;1e-04;0.6666666865348816;0.6566272328297297
5;0.6666667;0.5990858053167661;1e-04;0.65625;0.6395201683044434
6;0.70182294;0.5939623694866896;1e-04;0.6770833134651184;0.6271857768297195
7;0.66796875;0.6037661122779051;1e-04;0.71875;0.6146073093016943
8;0.70182294;0.5824185019979874;1e-04;0.734375;0.6051806658506393
9;0.69921875;0.5832266037662824;1e-04;0.734375;0.5916068206230799
10;0.6979167;0.5725597714384397;1e-04;0.7395833134651184;0.5916804273923238
11;0.6796875;0.5785679146647453;1e-04;0.734375;0.587348148226738
12;0.71484375;0.5622736439108849;1e-04;0.7291666865348816;0.5881701856851578
13;0.7109375;0.5568613149225712;1e-04;0.7291666865348816;0.5791362673044205
14;0.71875;0.5494261775165796;1e-04;0.7291666865348816;0.5775899142026901
15;0.71223956;0.5538820773363113;1e-04;0.7395833134651184;0.5733133008082708
16;0.72005206;0.5433724181105694;1e-04;0.7291666865348816;0.5705780585606893
17;0.71744794;0.5442272741347551;1e-04;0.7447916865348816;0.5733902305364609
18;0.73567706;0.5415334695329269;1e-04;0.7395833134651184;0.5651513785123825
19;0.72005206;0.5390345094104608;1e-04;0.7395833134651184;0.5631696234146754
20;0.74609375;0.5238014565159878;1e-04;0.7447916865348816;0.5588274225592613
21;0.73567706;0.5313550351808468;1e-04;0.765625;0.5563683807849884
22;0.74348956;0.5184066649526358;1e-04;0.7604166865348816;0.5505348294973373
23;0.73307294;0.5208864094068607;1e-04;0.75;0.5555615574121475
24;0.7421875;0.5283472848435243;1e-04;0.7552083134651184;0.5523005525271097
25;0.7526042;0.5187184723714987;1e-04;0.75;0.5544649337728819
26;0.76953125;0.5150122611473004;1e-04;0.765625;0.5541779845952988
27;0.7526042;0.5121832055350145;1e-04;0.7760416865348816;0.546816681822141
28;0.76692706;0.5014262292534113;1e-04;0.765625;0.5412845139702162
29;0.76692706;0.49392446440955;1e-04;0.765625;0.5291918615500132
30;0.7708333;0.4898109845817089;1e-04;0.765625;0.5313704287012418
31;0.75;0.5106984923283259;1e-04;0.75;0.5365819707512856
32;0.7786458;0.48577780400713283;1e-04;0.7708333134651184;0.5296976044774055
33;0.7760417;0.4893326784173648;1e-04;0.78125;0.5306850771109263
34;0.7890625;0.47960758209228516;1e-04;0.7760416865348816;0.5264004021883011
35;0.7682292;0.48981030471622944;1e-04;0.7708333134651184;0.5219809090097746
36;0.76692706;0.48570708992580575;1e-04;0.7447916865348816;0.5275294855237007
