epoch;accuracy;loss;lr;val_accuracy;val_loss
0;0.47135416;0.738433505098025;1e-04;0.4895833432674408;0.6959255387385687
1;0.5208333;0.6997431355218092;1e-04;0.4739583432674408;0.6944484959046046
2;0.5807292;0.6793263144791126;1e-04;0.4791666567325592;0.6905145843823751
3;0.640625;0.6596425784130892;1e-04;0.515625;0.6842803955078125
4;0.63671875;0.6498994901776314;1e-04;0.578125;0.6773220400015513
5;0.65755206;0.6324306093156338;1e-04;0.6302083134651184;0.6703645090262095
6;0.66536456;0.6314310121039549;1e-04;0.6666666865348816;0.6627117196718851
7;0.65755206;0.6326947597165903;1e-04;0.65625;0.6567049523194631
8;0.68880206;0.6124420501291752;1e-04;0.6770833134651184;0.6489716718594233
9;0.69921875;0.6085135551790396;1e-04;0.6770833134651184;0.6427104075749716
10;0.67317706;0.6207910825808843;1e-04;0.6770833134651184;0.6357164680957794
11;0.72265625;0.600644608338674;1e-04;0.6770833134651184;0.6310832351446152
12;0.6875;0.6031419473389784;1e-04;0.6875;0.6271449327468872
13;0.73046875;0.588510716954867;1e-04;0.6979166865348816;0.6223347981770834
14;0.7213542;0.5935087911784649;1e-04;0.6770833134651184;0.6207107802232107
15;0.73828125;0.5799040527393421;1e-04;0.703125;0.6189173658688863
16;0.7213542;0.5803167180468639;1e-04;0.7135416865348816;0.6144712666670481
17;0.75;0.572989867379268;1e-04;0.71875;0.6133443017800649
18;0.7473958;0.5671549501518408;1e-04;0.7083333134651184;0.6088711271683375
19;0.7291667;0.5731607669343551;1e-04;0.71875;0.6050907423098882
20;0.7473958;0.5677119685957829;1e-04;0.7135416865348816;0.605953186750412
21;0.7552083;0.5652053064356247;1e-04;0.71875;0.6035530865192413
22;0.76171875;0.5584211684763432;1e-04;0.7239583134651184;0.6021924515565237
23;0.7708333;0.5575630956639847;1e-04;0.7447916865348816;0.5993930896123251
24;0.7760417;0.542609196777145;1e-04;0.71875;0.5981892645359039
25;0.7708333;0.5413797870278358;1e-04;0.7395833134651184;0.5944195091724396
26;0.7786458;0.5398521758615971;1e-04;0.7291666865348816;0.5930218001206716
27;0.7838542;0.5338716115802526;1e-04;0.7552083134651184;0.5906648983558019
28;0.78125;0.5402518945435683;1e-04;0.75;0.5901004721721014
29;0.7890625;0.5291552077978849;1e-04;0.7604166865348816;0.5878537247578303
30;0.7864583;0.5278943460434675;1e-04;0.765625;0.5850941290458044
31;0.81901044;0.5113729120542606;1e-04;0.7604166865348816;0.582947313785553
32;0.8020833;0.5147500280290842;1e-04;0.78125;0.5812663162748019
33;0.80859375;0.5063428872575363;1e-04;0.765625;0.5794669017195702
34;0.79557294;0.5053595844656229;1e-04;0.765625;0.5765887523690859
35;0.8229167;0.49630353910227615;1e-04;0.7708333134651184;0.5725146333376566
